Plot Number,Size SqFt,Price Per SqFt,Status
P-01,1755,2500,Booked
P-02,1285,2500,Available
P-03,1256,2500,Available
P-04,1369,2500,Available
P-05,1416,2500,Available
P-06,1711,2500,Booked
P-07,1372,2500,Booked
P-08,1370,2500,Booked
P-09,1509,2500,Booked
P-10,1506,2500,Booked
P-11,1587,2500,Booked
P-12,1369,2500,Booked
P-13,1374,2500,Available
P-14,1693,2500,Booked
P-15,1627,2500,Booked
P-16,1692,2500,Available
P-17,1693,2501,Available
P-18,1694,2502,Available
P-19,1695,2503,Available
P-20,1696,2504,Available
P-21,1697,2505,Available
P-22,1698,2506,Available
P-23,1699,2507,Available
P-24,1700,2508,Available
P-25,1701,2509,Available
P-26,1702,2510,Available
P-27,1703,2511,Available
P-28,1704,2512,Available
P-29,1705,2513,Available
P-30,1706,2514,Available
P-31,1707,2515,Available
P-32,1708,2516,Available
P-33,1709,2517,Available
P-34,1710,2518,Available
P-35,1711,2519,Available
P-36,1712,2520,Available
P-37,1713,2521,Available
P-38,1714,2522,Available
P-39,1715,2523,Available
P-40,1716,2524,Available
P-41,1717,2525,Available
P-42,1718,2526,Available
P-43,1719,2527,Available
P-44,1720,2528,Available
P-45,1721,2529,Available
P-46,1722,2530,Available
P-47,1723,2531,Available
P-48,1724,2532,Available
P-49,1725,2533,Available
P-50,1726,2534,Available
P-51,1727,2535,Available
P-52,1728,2536,Available
P-53,1729,2537,Available
P-54,1730,2538,Available
P-55,1731,2539,Available
P-56,1732,2540,Available
P-57,1733,2541,Available
P-58,1734,2542,Available
P-59,1735,2543,Available
P-60,1736,2544,Available
P-61,1737,2545,Available
P-62,1738,2546,Available
P-63,1739,2547,Available
P-64,1740,2548,Available
P-65,1741,2549,Available
P-66,1742,2550,Available
P-67,1743,2551,Available
P-68,1744,2552,Available
P-69,1745,2553,Available
P-70,1746,2554,Available
P-71,1747,2555,Available
P-72,1748,2556,Available
P-73,1749,2557,Available
P-74,1750,2558,Available
P-75,1751,2559,Available
P-76,1752,2560,Available
P-77,1753,2561,Available
P-78,1754,2562,Available
P-79,1755,2563,Available
P-80,1756,2564,Available
P-81,1757,2565,Available
P-82,1758,2566,Available
P-83,1759,2567,Available
P-84,1760,2568,Available
P-85,1761,2569,Available
P-86,1762,2570,Available
P-87,1763,2571,Available
P-88,1764,2572,Available
P-89,1765,2573,Available
P-90,1766,2574,Available
P-91,1767,2575,Available
P-92,1768,2576,Available
P-93,1769,2577,Available
P-94,1770,2578,Available
P-95,1771,2579,Available
P-96,1772,2580,Available
P-97,1773,2581,Available
P-98,1774,2582,Available
P-99,1775,2583,Available
P-100,1776,2584,Available
P-101,1777,2585,Available
P-102,1778,2586,Available
P-103,1779,2587,Available
P-104,1780,2588,Available
P-105,1781,2589,Available
P-106,1782,2590,Available
P-107,1783,2591,Available
P-108,1784,2592,Available
P-109,1785,2593,Available
P-110,1786,2594,Available
P-111,1787,2595,Available
P-112,1788,2596,Available
P-113,1789,2597,Available
P-114,1790,2598,Available
P-115,1791,2599,Available
P-116,1792,2600,Available
P-117,1793,2601,Available
P-118,1794,2602,Available
P-119,1795,2603,Available
P-120,1796,2604,Available
P-121,1797,2605,Available
P-122,1798,2606,Available
P-123,1799,2607,Available
P-124,1800,2608,Available
P-125,1801,2609,Available
P-126,1802,2610,Available
P-127,1803,2611,Available
P-128,1804,2612,Available
P-129,1805,2613,Available
P-130,1806,2614,Available
P-131,1807,2615,Available
P-132,1808,2616,Available
P-133,1809,2617,Available
P-134,1810,2618,Available
P-135,1811,2619,Available
P-136,1812,2620,Available
P-137,1813,2621,Available
P-138,1814,2622,Available
P-139,1815,2623,Available
P-140,1816,2624,Available
P-141,1817,2625,Available
P-142,1818,2626,Available
P-143,1819,2627,Available
P-144,1820,2628,Available
P-145,1821,2629,Available
P-146,1822,2630,Available
P-147,1823,2631,Available
P-148,1824,2632,Available
P-149,1825,2633,Available
P-150,1826,2634,Available
P-151,1827,2635,Available
P-152,1828,2636,Available
P-153,1829,2637,Available
P-154,1830,2638,Available
P-155,1831,2639,Available
P-156,1832,2640,Available
P-157,1833,2641,Available
P-158,1834,2642,Available
P-159,1835,2643,Available
P-160,1836,2644,Available
P-161,1837,2645,Available
P-162,1838,2646,Available
P-163,1839,2647,Available
P-164,1840,2648,Available
P-165,1841,2649,Available
P-166,1842,2650,Available
P-167,1843,2651,Available
P-168,1844,2652,Available
P-169,1845,2653,Available
P-170,1846,2654,Available
P-171,1847,2655,Available
P-172,1848,2656,Available
P-173,1849,2657,Available
P-174,1850,2658,Available
P-175,1851,2659,Available
P-176,1852,2660,Available
P-177,1853,2661,Available
P-178,1854,2662,Available
P-179,1855,2663,Available
P-180,1856,2664,Available
P-181,1857,2665,Available
P-182,1858,2666,Available
P-183,1859,2667,Available
P-184,1860,2668,Available
