Plot Number,Size SqFt,Price Per SqFt,Status
P-001,2200,2500,Available
P-002,2050,2500,Available
P-003,1950,2500,Available
P-004,1750,2500,Available
P-005,1750,2500,Available
P-006,1800,2500,Available
P-007,1850,2500,Available
P-008,1900,2500,Available
P-009,1920,2500,Available
P-010,1880,2500,Available
P-011,1820,2500,Available
P-012,1900,2500,Available
P-013,1860,2500,Available
P-014,1840,2500,Available
P-015,1890,2500,Available
P-016,1500,2500,Available
P-017,1500,2500,Available
P-018,1800,2500,Available
P-019,1500,2500,Available
P-020,1500,2500,Available
P-021,1800,2500,Available
P-022,1500,2500,Available
P-023,1500,2500,Available
P-024,1800,2500,Available
P-025,1500,2500,Available
P-026,1500,2500,Available
P-027,1800,2500,Available
P-028,1500,2500,Available
P-029,1500,2500,Available
P-030,1800,2500,Available
P-031,1500,2500,Available
P-032,1500,2500,Available
P-033,1800,2500,Available
P-034,1500,2500,Available
P-035,1500,2500,Available
P-036,1800,2500,Available
P-037,1500,2500,Available
P-038,1500,2500,Available
P-039,1800,2500,Available
P-040,1650,2500,Available
P-041,1500,2500,Available
P-042,1500,2500,Available
P-043,1500,2500,Available
P-044,1500,2500,Available
P-045,1800,2500,Available
P-046,1500,2500,Available
P-047,1500,2500,Available
P-048,1800,2500,Available
P-049,1500,2500,Available
P-050,1500,2500,Available
P-051,1800,2500,Available
P-052,1800,2500,Available
P-053,1500,2500,Available
P-054,1500,2500,Available
P-055,1800,2500,Available
P-056,1500,2500,Available
P-057,1500,2500,Available
P-058,1800,2500,Available
P-059,1500,2500,Available
P-060,1500,2500,Available
P-061,1800,2500,Available
P-062,1500,2500,Available
P-063,1500,2500,Available
P-064,1500,2500,Available
P-065,1500,2500,Available
P-066,1800,2500,Available
P-067,1500,2500,Available
P-068,1500,2500,Available
P-069,1800,2500,Available
P-070,1500,2500,Available
P-071,1500,2500,Available
P-072,1800,2500,Available
P-073,1500,2500,Available
P-074,1500,2500,Available
P-075,1800,2500,Available
P-076,1500,2500,Available
P-077,1500,2500,Available
P-078,1800,2500,Available
P-079,1500,2500,Available
P-080,1500,2500,Available
P-081,1800,2500,Available
P-082,1500,2500,Available
P-083,1500,2500,Available
P-084,1800,2500,Available
P-085,1500,2500,Available
P-086,1500,2500,Available
P-087,1750,2500,Available
P-088,1750,2500,Available
P-089,1500,2500,Available
P-090,1500,2500,Available
P-091,1500,2500,Available
P-092,1500,2500,Available
P-093,1800,2500,Available
P-094,1500,2500,Available
P-095,1500,2500,Available
P-096,1800,2500,Available
P-097,1500,2500,Available
P-098,1500,2500,Available
P-099,1800,2500,Available
P-100,1500,2500,Available
P-101,1500,2500,Available
P-102,1800,2500,Available
P-103,1500,2500,Available
P-104,1500,2500,Available
P-105,1800,2500,Available
P-106,1500,2500,Available
P-107,1500,2500,Available
P-108,1800,2500,Available
P-109,1500,2500,Available
P-110,1500,2500,Available
P-111,1500,2500,Available
P-112,1500,2500,Available
P-113,1800,2500,Available
P-114,1500,2500,Available
P-115,1500,2500,Available
P-116,1800,2500,Available
P-117,1500,2500,Available
P-118,1500,2500,Available
P-119,1800,2500,Available
P-120,1500,2500,Available
P-121,1500,2500,Available
P-122,1800,2500,Available
P-123,1500,2500,Available
P-124,1500,2500,Available
P-125,1800,2500,Available
P-126,1500,2500,Available
P-127,1500,2500,Available
P-128,1800,2500,Available
P-129,1500,2500,Available
P-130,1500,2500,Available
P-131,1800,2500,Available
P-132,1720,2500,Available
P-133,1650,2500,Available
P-134,1500,2500,Available
P-135,1500,2500,Available
P-136,1800,2500,Available
P-137,1500,2500,Available
P-138,1500,2500,Available
P-139,1800,2500,Available
P-140,1500,2500,Available
P-141,1800,2500,Available
P-142,1500,2500,Available
P-143,1500,2500,Available
P-144,1800,2500,Available
P-145,1500,2500,Available
P-146,1500,2500,Available
P-147,1800,2500,Available
P-148,1500,2500,Available
P-149,1500,2500,Available
P-150,1800,2500,Available
P-151,1500,2500,Available
P-152,1500,2500,Available
P-153,1780,2500,Available
P-154,1520,2500,Available
P-155,1560,2500,Available
P-156,1600,2500,Available
P-157,1680,2500,Available
P-158,1740,2500,Available
P-159,1620,2500,Available
P-160,1580,2500,Available
P-161,1540,2500,Available
P-162,1540,2500,Available
P-163,1500,2500,Available
P-164,1480,2500,Available
P-165,1820,2500,Available
P-166,1950,2500,Available
P-167,1520,2500,Available
P-168,1520,2500,Available
P-169,1880,2500,Available
P-170,1620,2500,Available
P-171,1600,2500,Available
P-172,1750,2500,Available
P-173,1720,2500,Available
P-174,1560,2500,Available
P-175,1540,2500,Available
P-176,1550,2500,Available
P-177,1570,2500,Available
P-178,1590,2500,Available
P-179,1610,2500,Available
P-180,1620,2500,Available
P-181,1840,2500,Available
P-182,2100,2500,Available
P-183,2350,2500,Available
P-184,1850,2500,Available
